,Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Valor de mercado (Transfermarkt),Vencimiento contrato,Partidos jugados,Minutos jugados,Goles,xG,Asistencias,xA,Duelos/90,Duelos ganados %,País de nacimiento,Pasaporte,Pie,Altura,Peso,En prestamo,Acciones defensivas realizadas/90,Duelos defensivos/90,Duelos defensivos ganados %,Duelos aéreos/90,Duelos aéreos ganados %,Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,Tiros a la portería %,Goles hechos %,Asistencias/90,Centros/90,Precisión centros %,Centros desde la banda izquierda/90,Precisión centros desde la banda izquierda %,Centros desde la banda derecha/90,Precisión centros desde la banda derecha %,Centros al área pequeña/90,Regates/90,Regates realizados %,Duelos atacantes/90,Duelos atacantes ganados %,Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos/90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,Precisión pases %,Pases hacia adelante/90,Precisión pases hacia adelante %,Pases hacia atrás/90,Precision pases hacia atrás %,Pases laterales/90,Precisión pases laterales %,Pases cortos / medios/90,Precisión pases cortos / medios %,Pases largos/90,Precisión pases largos %,"Longitud media pases, m","Longitud media pases largos, m",xA/90,Second assists/90,Third assists/90,Desmarques/90,Precisión desmarques %,Jugadas claves/90,Pases en el último tercio/90,Precisión pases en el último tercio %,Pases al área de penalti/90,Pases hacía el área pequeña %,Pases en profundidad/90,Precisión pases en profundidad %,Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,Precisión pases progresivos %,Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas/90,Paradas %,xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Tiros libres/90,Tiros libres directos/90,Tiros libres directos %,Córneres/90,Penaltis a favor,Penaltis realizados %,Competición,Temporada,Pais_Comp,Asistencias/90.1,Duelos aéreos/90.1,Flag,Posición Principal,Fecha_Actualizacion
0,D. García,Numancia,Numancia,CF,27,300000,2026-06-30,24,1237,3,3.22,0,0.71,11.79,37.04,Spain,Spain,ambidiestro,180,72,no,2.62,2.62,50.0,1.82,20.0,0.15,0.22,0.22,1.16,1.78,1.09,3,0.22,0,0.0,1.75,0.22,3,0.22,0.23,1,0.07,17,1.24,35.29,17.647,0.0,1.31,22.22,0.65,11.11,0.65,33.33,0.0,1.46,70.0,4.87,34.33,2.26,0.73,0.0,9.24,1.38,0.65,15.5,74.65,2.69,54.05,5.17,91.55,3.93,66.67,13.61,80.21,0.58,62.5,16.68,8.28,0.05,0.07,0.0,0.0,0.0,0.07,1.02,57.14,1.09,33.33,0.07,100.0,0.15,0.36,1.16,75.0,0,,0,,0,0.0,0.0,0.0,,,0.07,,0.36,0.15,0.0,0.07,1,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Delantero,2026-08-01 16:29:15.671466
1,Javi Delgado,Salamanca CF UDS,Salamanca CF UDS,"CF, AMF",30,250000,2026-06-30,12,801,6,4.13,1,0.5,23.15,32.52,Spain,Spain,derecho,188,74,no,2.02,3.03,48.15,2.81,52.0,0.0,0.0,0.0,0.56,0.77,2.02,1,0.11,0,0.0,2.47,0.67,6,0.67,0.46,0,0.0,25,2.81,40.0,24.0,0.11,1.69,20.0,0.56,40.0,1.12,10.0,0.34,1.8,56.25,12.81,28.95,3.71,1.01,0.0,8.2,1.57,0.9,16.52,68.03,3.37,60.0,5.06,86.67,4.49,62.5,14.27,74.02,0.79,42.86,16.44,28.2,0.06,0.0,0.0,0.0,0.0,0.22,1.46,69.23,1.24,36.36,0.0,0.0,0.34,0.34,1.12,70.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.34,0.34,33.33,0.0,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Delantero,2026-08-01 16:29:15.671466
2,Adrián Mancebo,Salamanca CF UDS,Salamanca CF UDS,"RAMF, RW, LCMF",30,250000,2026-06-30,10,656,1,0.82,1,0.83,15.23,41.44,Spain,Spain,izquierdo,171,72,no,5.76,4.94,58.33,0.14,0.0,0.27,0.41,0.14,2.61,3.93,1.23,5,0.69,0,0.0,1.78,0.14,0,0.0,0.11,0,0.0,4,0.55,25.0,25.0,0.14,1.92,57.14,0.55,50.0,1.37,60.0,0.14,1.65,33.33,8.37,32.79,1.51,1.65,0.41,34.44,1.51,1.37,45.69,82.58,12.9,71.28,9.88,93.06,13.86,83.17,39.92,86.6,3.84,53.57,17.78,32.69,0.11,0.14,0.0,0.0,0.0,0.27,7.82,75.44,3.7,55.56,0.55,75.0,1.51,1.1,7.82,80.7,0,,0,,0,0.0,0.0,0.0,,,0.14,,0.69,0.14,0.0,0.27,1,100.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Extremo,2026-08-01 16:29:15.671466
3,P. Servetti,Salamanca CF UDS,Salamanca CF UDS,CF,30,250000,2026-06-30,11,656,0,2.84,1,0.57,18.93,36.96,Uruguay,Uruguay,derecho,180,78,no,3.7,2.88,52.38,7.68,37.5,0.0,0.0,0.0,2.2,3.38,1.78,1,0.14,0,0.0,1.23,0.0,0,0.0,0.39,0,0.0,9,1.23,55.56,0.0,0.14,0.55,50.0,0.27,0.0,0.14,100.0,0.14,0.41,66.67,4.66,26.47,2.74,0.14,0.0,8.23,2.2,1.23,13.03,78.95,2.47,61.11,3.43,100.0,2.61,73.68,12.21,82.02,0.41,33.33,15.8,14.85,0.08,0.14,0.0,0.0,0.0,0.27,1.65,41.67,0.55,50.0,0.0,0.0,0.41,0.27,1.23,77.78,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,1,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/5796.png,Delantero,2026-08-01 16:29:15.671466
4,J. González,Numancia,Numancia,CF,26,250000,2026-06-30,24,1879,12,11.82,1,0.92,18.63,36.5,Spain,Spain,derecho,191,82,no,3.07,1.25,73.08,6.8,42.96,0.05,0.07,0.05,2.11,2.96,0.53,3,0.14,0,0.0,1.87,0.57,11,0.53,0.57,3,0.14,62,2.97,41.94,19.355,0.05,0.67,21.43,0.34,28.57,0.34,14.29,0.14,1.2,40.0,6.75,28.37,3.88,0.48,0.0,10.59,2.39,1.2,13.51,65.6,2.73,52.63,3.3,82.61,4.17,64.37,12.21,68.24,0.72,53.33,15.73,17.7,0.04,0.05,0.0,0.05,0.0,0.24,1.2,44.0,0.96,40.0,0.05,0.0,0.43,0.24,1.29,70.37,0,,0,,0,0.0,0.0,0.0,,,0.05,,0.0,0.0,0.0,0.0,2,50.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Delantero,2026-08-01 16:29:15.671466
5,D. González,Bergantiños,Bergantiños,"RCMF, LDMF, RDMF",26,200000,2026-06-30,20,1625,1,1.05,0,0.22,24.31,50.57,Spain,Spain,derecho,177,66,no,11.35,10.8,66.67,3.38,31.15,0.33,0.38,0.06,3.82,4.35,2.22,4,0.22,0,0.0,0.89,0.06,1,0.06,0.06,1,0.06,13,0.72,30.77,7.692,0.0,0.61,18.18,0.17,33.33,0.39,14.29,0.06,0.89,56.25,7.09,42.97,1.05,0.78,0.06,26.58,0.39,1.72,41.98,81.27,11.69,65.88,8.58,94.19,13.4,85.95,38.38,85.14,2.99,44.44,15.58,28.97,0.01,0.11,0.06,0.06,100.0,0.11,4.87,60.23,0.83,33.33,0.11,100.0,0.33,0.11,5.04,61.54,0,,0,,0,0.0,0.0,0.0,,,0.55,,0.0,0.0,0.0,0.0,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Centrocampista,2026-08-01 16:29:15.671466
6,I. Novo,Bergantiños,Bergantiños,"LCMF, AMF, CF",27,200000,2026-06-30,23,2203,0,1.75,4,3.64,23.37,48.25,Spain,Spain,derecho,0,0,no,6.25,6.13,58.67,1.14,35.71,0.12,0.15,0.0,2.53,3.01,1.14,6,0.25,0,0.0,3.51,0.0,0,0.0,0.07,0,0.0,25,1.02,32.0,0.0,0.16,2.17,37.74,1.18,41.38,0.94,30.43,0.2,3.8,56.99,13.65,45.51,1.63,3.64,0.65,33.09,1.47,2.17,49.35,79.47,17.32,67.69,9.93,93.42,15.61,84.29,40.53,86.19,6.74,52.73,18.72,32.77,0.15,0.04,0.0,0.41,50.0,0.82,10.25,66.93,4.33,52.83,1.47,41.67,1.88,0.74,8.82,79.63,0,,0,,0,0.0,0.0,0.0,,,0.2,,0.33,0.04,0.0,0.49,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Centrocampista,2026-08-01 16:29:15.671466
7,Ramón Riego,Lealtad,Lealtad,"LB, RB",30,200000,2026-06-30,3,243,1,0.11,0,0.31,,,Spain,Spain,derecho,174,71,no,,,,,,,1.84,,,6.12,,1,,0,,,,1,,,0,,2,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.53,35.27,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Lateral,2026-08-01 16:29:15.671466
8,Juancho Victoria,Numancia,Numancia,"LW, LAMF, CF",30,200000,2026-06-30,24,1955,5,4.43,2,1.52,28.27,37.62,Colombia,Colombia,derecho,185,75,no,5.75,5.94,61.24,1.84,22.5,0.32,0.44,0.05,1.8,2.44,1.52,3,0.14,0,0.0,3.41,0.23,5,0.23,0.2,0,0.0,51,2.35,39.22,9.804,0.09,1.57,41.18,1.29,50.0,0.28,0.0,0.18,3.96,46.51,16.48,32.68,2.21,2.16,0.28,18.23,1.84,2.03,28.96,80.92,6.4,71.22,7.55,85.98,8.65,80.32,26.19,84.01,1.24,62.96,16.29,24.5,0.07,0.09,0.05,0.05,0.0,0.55,2.9,74.6,2.26,57.14,0.18,0.0,0.97,0.6,3.04,77.27,0,,0,,0,0.0,0.0,0.0,,,0.14,,0.0,0.0,0.0,0.0,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/8258.png,Extremo,2026-08-01 16:29:15.671466
9,Ó. de Frutos,Numancia,Numancia,RCB,27,200000,2026-06-30,23,1902,0,1.38,0,0.26,11.97,64.03,Spain,Spain,derecho,182,77,no,8.94,5.3,75.0,3.74,53.16,0.52,0.73,0.38,4.45,6.25,0.71,3,0.14,2,0.09,0.43,0.0,0,0.0,0.07,0,0.0,9,0.43,33.33,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.05,0.43,66.67,1.28,59.26,0.76,1.04,0.0,28.49,0.14,0.8,43.63,84.49,16.18,67.25,2.22,95.74,22.62,96.23,36.58,91.72,6.96,47.62,22.85,33.93,0.01,0.0,0.0,0.0,0.0,0.0,5.96,59.52,0.9,21.05,0.33,14.29,0.24,0.05,7.9,67.07,0,,0,,0,0.0,0.0,0.0,,,1.99,,0.0,0.0,0.0,0.0,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Central,2026-08-01 16:29:15.671466
10,Fermín Ruiz,Numancia,Numancia,LB,28,200000,2026-06-30,21,1588,0,0.32,5,3.09,12.81,62.83,Spain,Spain,izquierdo,177,66,no,8.39,5.67,67.0,2.1,62.16,0.11,0.16,0.11,4.48,6.14,0.79,8,0.45,0,0.0,1.3,0.0,0,0.0,0.02,0,0.0,6,0.34,16.67,0.0,0.28,2.72,20.83,2.49,22.73,0.23,0.0,0.45,0.91,56.25,3.34,61.02,0.57,0.91,0.11,26.41,1.42,1.53,37.29,71.58,17.97,63.72,5.72,94.06,10.03,71.19,28.11,82.66,6.69,44.92,21.86,34.73,0.17,0.06,0.06,0.17,100.0,0.34,7.71,58.09,3.51,37.1,0.68,33.33,0.79,0.51,10.31,75.27,0,,0,,0,0.0,0.0,0.0,,,0.57,,1.19,0.06,0.0,3.29,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Lateral,2026-08-01 16:29:15.671466
11,Álex Escardó,Numancia,Numancia,"RCMF, AMF, CF",27,200000,2026-06-30,6,246,0,0.76,0,0.13,,,Spain,Spain,derecho,176,72,no,,,,,,,2.05,,,2.73,,0,,0,,,,0,,,0,,14,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.69,25.57,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Centrocampista,2026-08-01 16:29:15.671466
12,J. Buyla,Numancia,Numancia,"LCMF, LDMF",27,200000,2026-06-30,20,901,0,0.91,0,0.45,19.08,46.07,Spain,Spain,derecho,180,83,no,4.59,5.09,54.9,2.7,37.04,0.4,0.59,0.1,1.4,2.07,1.8,6,0.6,0,0.0,1.5,0.0,0,0.0,0.09,0,0.0,12,1.2,16.67,0.0,0.0,0.9,33.33,0.7,42.86,0.2,0.0,0.2,1.3,69.23,9.29,45.16,0.8,2.0,0.0,19.18,0.2,2.7,28.97,81.03,10.59,68.87,5.29,98.11,8.69,85.06,26.57,84.59,1.5,46.67,17.52,20.94,0.05,0.1,0.0,0.2,50.0,0.1,5.79,74.14,1.6,50.0,0.1,0.0,0.6,0.3,4.99,82.0,0,,0,,0,0.0,0.0,0.0,,,0.2,,0.3,0.2,0.0,0.4,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Centrocampista,2026-08-01 16:29:15.671466
13,Marc Tenas,Gimnástica Segoviana,Gimnástica Segoviana,CF,24,200000,2026-06-30,21,1282,4,6.72,0,0.19,15.44,33.18,Spain,Spain,derecho,183,77,no,2.25,2.25,50.0,3.72,39.62,0.0,0.0,0.07,1.12,1.7,1.61,1,0.07,0,0.0,1.9,0.28,4,0.28,0.47,0,0.0,50,3.51,36.0,8.0,0.0,0.98,14.29,0.35,20.0,0.63,11.11,0.0,1.05,46.67,6.46,27.17,3.93,0.28,0.07,16.22,2.39,1.26,22.25,79.18,3.44,59.18,6.25,88.76,7.79,82.88,20.22,82.99,1.05,66.67,18.37,20.62,0.01,0.0,0.0,0.0,0.0,0.07,2.53,77.78,1.12,31.25,0.0,0.0,0.21,0.28,2.11,66.67,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Delantero,2026-08-01 16:29:15.671466
14,Javi Borrego,Gimnástica Segoviana,Gimnástica Segoviana,"AMF, LW, RCMF",29,200000,2026-06-30,15,924,1,1.26,1,0.99,17.63,45.3,Spain,Spain,derecho,175,69,no,4.68,4.19,60.47,1.07,36.36,0.29,0.42,0.19,1.85,2.68,0.58,2,0.19,0,0.0,2.44,0.1,1,0.1,0.12,0,0.0,9,0.88,55.56,11.111,0.1,0.97,60.0,0.78,62.5,0.1,100.0,0.1,2.24,60.87,10.81,40.54,2.34,2.14,0.19,20.65,1.36,2.14,30.49,77.96,8.47,70.11,7.31,89.33,7.4,85.53,28.73,78.98,0.88,66.67,14.97,13.36,0.1,0.0,0.0,0.1,0.0,0.19,4.68,66.67,1.95,65.0,0.19,50.0,1.07,0.49,3.99,73.17,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Centrocampista,2026-08-01 16:29:15.671466
15,Fer Llorente,Gimnástica Segoviana,Gimnástica Segoviana,"RCMF, LCMF",35,175000,2026-06-30,18,1491,2,2.19,3,2.12,17.14,53.87,Spain,Spain,derecho,179,72,no,8.39,6.76,66.96,3.08,58.82,0.12,0.18,0.42,3.74,5.54,1.27,2,0.12,0,0.0,1.57,0.12,0,0.0,0.13,0,0.0,27,1.63,37.04,7.407,0.18,1.39,43.48,0.48,37.5,0.85,42.86,0.12,0.54,66.67,5.25,37.93,1.33,0.66,0.06,26.62,0.78,0.91,45.15,81.02,15.09,67.6,8.45,97.86,14.61,84.3,39.66,86.45,4.1,41.18,17.57,32.28,0.13,0.06,0.0,0.0,0.0,0.42,8.45,65.0,2.41,60.0,0.48,75.0,0.91,0.66,7.24,76.67,0,,0,,0,0.0,0.0,0.0,,,0.42,,1.87,0.3,20.0,3.32,2,100.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Centrocampista,2026-08-01 16:29:15.671466
16,David Ámez,Langreo,Langreo,RCB,25,150000,2026-06-30,14,1206,0,1.54,1,0.0,9.78,60.31,Spain,Spain,derecho,184,77,no,8.73,4.03,68.52,3.21,48.84,0.3,0.38,0.82,5.67,7.31,0.45,4,0.3,1,0.07,0.37,0.0,0,0.0,0.12,0,0.0,5,0.37,40.0,0.0,0.07,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.37,60.0,1.49,40.0,0.52,0.9,0.07,23.81,0.3,0.37,35.3,84.57,14.55,72.82,2.91,94.87,14.85,93.47,29.03,92.54,6.19,48.19,23.62,40.72,0.0,0.0,0.0,0.0,0.0,0.0,5.07,52.94,0.45,0.0,0.37,0.0,0.0,0.0,6.19,73.49,0,,0,,0,0.0,0.0,0.0,,,2.46,,0.0,0.0,0.0,0.0,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Central,2026-08-01 16:29:15.671466
17,Carlos Parra,Salamanca CF UDS,Salamanca CF UDS,RB,30,150000,2026-06-30,10,924,1,0.6,1,1.1,15.29,56.69,Spain,Spain,derecho,168,65,no,8.08,6.82,72.86,2.44,44.0,0.19,0.27,0.0,2.92,4.11,1.36,3,0.29,0,0.0,1.56,0.1,1,0.1,0.06,0,0.0,8,0.78,25.0,12.5,0.1,2.73,28.57,0.0,0.0,2.73,28.57,0.39,0.88,66.67,3.8,48.72,0.78,1.36,0.1,26.3,1.36,1.66,36.14,75.47,15.68,67.7,5.36,92.73,10.71,75.45,27.56,89.4,6.04,32.26,20.53,40.53,0.11,0.1,0.0,0.0,0.0,0.29,5.06,59.62,2.63,33.33,0.19,100.0,0.39,0.78,6.62,75.0,0,,0,,0,0.0,0.0,0.0,,,0.39,,0.19,0.0,0.0,0.19,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Lateral,2026-08-01 16:29:15.671466
18,Pablo Pérez,Langreo,Langreo,"CF, AMF",32,150000,2026-06-30,23,1755,3,4.0,2,1.52,28.1,44.71,Spain,Spain,derecho,187,79,no,6.1,5.38,63.81,8.46,52.73,0.26,0.33,0.15,2.41,3.15,1.74,10,0.51,0,0.0,2.05,0.15,3,0.15,0.21,0,0.0,34,1.74,35.29,8.824,0.1,0.56,36.36,0.21,50.0,0.36,28.57,0.0,2.1,58.54,9.79,26.18,2.97,1.49,0.21,17.44,4.62,1.49,25.49,78.07,6.15,60.83,7.9,89.61,4.97,77.32,23.95,81.16,0.97,26.32,13.76,10.01,0.08,0.0,0.0,0.0,0.0,0.26,2.67,73.08,1.54,43.33,0.21,50.0,0.77,0.26,2.26,72.73,0,,0,,0,0.0,0.0,0.0,,,0.05,,0.0,0.0,0.0,0.0,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Delantero,2026-08-01 16:29:15.671466
19,Juan López,Langreo,Langreo,"LCMF, LDMF",31,150000,2026-06-30,20,1754,1,1.79,1,0.61,20.47,51.63,Spain,Spain,izquierdo,179,76,no,8.11,6.98,60.29,3.28,53.13,0.1,0.13,0.15,3.8,4.69,1.28,4,0.21,0,0.0,1.13,0.05,1,0.05,0.09,1,0.05,21,1.08,42.86,4.762,0.05,0.87,17.65,0.51,30.0,0.31,0.0,0.1,1.23,41.67,7.44,42.76,1.18,1.59,0.21,24.73,0.62,2.21,39.2,80.76,12.67,64.78,5.8,96.46,15.39,89.33,34.02,86.12,4.31,51.19,19.64,32.54,0.03,0.0,0.15,0.05,0.0,0.15,5.39,62.86,1.08,28.57,0.21,25.0,0.21,0.31,5.85,71.05,0,,0,,0,0.0,0.0,0.0,,,1.23,,0.1,0.0,0.0,0.05,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Centrocampista,2026-08-01 16:29:15.671466
20,Quique Fernández,Deportivo Fabril,Deportivo Fabril,"DMF, LDMF, LCMF",22,150000,2026-06-30,10,668,1,0.2,3,0.83,14.69,61.47,Spain,Spain,izquierdo,177,70,no,9.97,6.2,63.04,1.89,78.57,0.0,0.0,0.27,6.06,11.54,1.35,1,0.13,0,0.0,1.21,0.13,1,0.13,0.03,0,0.0,6,0.81,16.67,16.667,0.4,1.08,37.5,0.81,33.33,0.27,50.0,0.4,0.94,71.43,3.37,60.0,0.0,0.67,0.0,38.67,0.0,0.81,59.01,81.28,25.19,68.45,7.28,94.44,22.77,89.94,49.18,87.95,8.89,50.0,21.69,40.67,0.11,0.0,0.0,0.0,0.0,0.54,13.07,71.13,3.23,37.5,0.94,42.86,1.08,0.27,12.26,81.32,0,,0,,0,0.0,0.0,0.0,,,1.08,,2.02,0.27,50.0,1.62,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Centrocampista,2026-08-01 16:29:15.671466
21,Ó. Marotías,Salamanca CF UDS,Salamanca CF UDS,LCB,24,150000,2026-06-30,13,1265,0,0.28,0,0.35,11.67,59.76,Spain,Spain,izquierdo,184,73,no,7.4,4.13,63.79,4.34,62.3,0.57,0.83,0.57,4.2,6.12,0.57,3,0.21,0,0.0,0.21,0.0,0,0.0,0.02,0,0.0,8,0.57,12.5,0.0,0.0,0.21,33.33,0.14,50.0,0.07,0.0,0.0,0.0,0.0,0.85,25.0,0.5,1.07,0.07,38.06,0.28,0.36,53.72,83.44,23.19,73.62,3.13,95.45,24.62,91.62,43.4,90.66,10.1,53.52,25.46,44.51,0.02,0.0,0.0,0.07,100.0,0.28,10.1,67.61,0.78,18.18,0.64,55.56,0.21,0.07,13.52,72.11,0,,0,,0,0.0,0.0,0.0,,,1.92,,0.07,0.07,0.0,0.0,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Central,2026-08-01 16:29:15.671466
22,Iván Casado,Salamanca CF UDS,Salamanca CF UDS,RCB,32,150000,2026-06-30,8,582,1,0.41,0,0.0,13.76,61.8,Spain,Spain,derecho,188,80,no,7.89,4.64,63.33,4.79,70.97,0.0,0.0,0.62,4.95,6.58,2.01,2,0.31,0,0.0,0.62,0.15,1,0.15,0.06,1,0.15,4,0.62,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,1.39,44.44,0.62,0.15,0.0,23.66,0.93,0.46,39.9,80.23,19.18,67.74,1.7,100.0,17.47,92.04,29.85,89.64,10.05,52.31,23.24,35.43,0.0,0.0,0.0,0.0,0.0,0.0,8.04,55.77,0.77,20.0,0.77,40.0,0.31,0.0,11.29,69.86,0,,0,,0,0.0,0.0,0.0,,,1.08,,0.0,0.0,0.0,0.0,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Central,2026-08-01 16:29:15.671466
23,Javier Murúa,Salamanca CF UDS,Salamanca CF UDS,"RCB, RB",29,150000,2026-06-30,11,858,0,0.34,0,0.38,11.12,63.21,Spain,Spain,derecho,182,72,no,8.71,4.41,78.57,3.36,56.25,0.31,0.49,0.1,4.93,7.75,0.52,1,0.1,0,0.0,0.21,0.0,0,0.0,0.04,0,0.0,4,0.42,0.0,0.0,0.0,0.42,25.0,0.0,0.0,0.42,25.0,0.1,0.21,50.0,1.15,45.45,1.15,1.26,0.0,37.03,0.84,0.63,52.13,84.31,21.08,69.65,2.62,100.0,24.13,95.22,43.53,91.08,8.18,51.28,22.11,35.93,0.04,0.21,0.0,0.0,0.0,0.0,6.82,63.08,0.63,16.67,0.1,100.0,0.21,0.1,9.86,68.09,0,,0,,0,0.0,0.0,0.0,,,1.36,,0.0,0.0,0.0,0.0,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Central,2026-08-01 16:29:15.671466
24,Alain García,Numancia,Numancia,RB,27,150000,2026-06-30,25,2316,0,0.87,1,1.77,23.39,60.13,Spain,Spain,derecho,175,68,no,11.74,10.34,71.05,2.1,51.85,0.16,0.21,0.27,4.24,5.77,1.67,10,0.39,0,0.0,2.99,0.0,0,0.0,0.03,0,0.0,25,0.97,8.0,0.0,0.04,3.96,22.55,0.0,0.0,3.96,22.55,0.31,3.34,59.3,7.66,53.3,1.48,2.84,1.01,27.01,1.94,2.02,38.67,67.84,19.31,64.39,5.36,92.75,9.09,70.94,28.95,80.4,6.02,34.19,21.71,38.98,0.07,0.0,0.0,0.04,100.0,0.47,7.23,59.14,3.46,35.96,0.54,57.14,0.66,0.97,9.56,66.67,0,,0,,0,0.0,0.0,0.0,,,1.01,,0.0,0.0,0.0,0.0,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Lateral,2026-08-01 16:29:15.671466
25,R. González,Coruxo,Coruxo,RB,23,150000,2026-06-30,7,494,0,0.04,0,0.81,16.76,52.17,Spain,Spain,derecho,0,0,no,8.93,7.11,56.41,3.83,52.38,0.18,0.22,0.18,4.74,5.74,1.46,2,0.36,0,0.0,1.82,0.0,0,0.0,0.01,0,0.0,2,0.36,50.0,0.0,0.0,3.46,31.58,0.0,0.0,3.46,31.58,0.73,1.09,50.0,3.83,47.62,0.36,0.73,0.0,17.49,1.46,1.64,29.33,65.84,14.03,59.74,2.37,84.62,8.93,65.31,20.77,77.19,5.28,44.83,21.57,33.56,0.15,0.0,0.0,0.18,0.0,0.18,6.38,51.43,4.19,34.78,0.18,0.0,0.73,1.64,7.83,69.77,0,,0,,0,0.0,0.0,0.0,,,0.91,,0.0,0.0,0.0,0.0,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Lateral,2026-08-01 16:29:15.671466
