,Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Valor de mercado (Transfermarkt),Vencimiento contrato,Partidos jugados,Minutos jugados,Goles,xG,Asistencias,xA,Duelos/90,Duelos ganados %,País de nacimiento,Pasaporte,Pie,Altura,Peso,En prestamo,Acciones defensivas realizadas/90,Duelos defensivos/90,Duelos defensivos ganados %,Duelos aéreos/90,Duelos aéreos ganados %,Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,Tiros a la portería %,Goles hechos %,Asistencias/90,Centros/90,Precisión centros %,Centros desde la banda izquierda/90,Precisión centros desde la banda izquierda %,Centros desde la banda derecha/90,Precisión centros desde la banda derecha %,Centros al área pequeña/90,Regates/90,Regates realizados %,Duelos atacantes/90,Duelos atacantes ganados %,Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos/90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,Precisión pases %,Pases hacia adelante/90,Precisión pases hacia adelante %,Pases hacia atrás/90,Precision pases hacia atrás %,Pases laterales/90,Precisión pases laterales %,Pases cortos / medios/90,Precisión pases cortos / medios %,Pases largos/90,Precisión pases largos %,"Longitud media pases, m","Longitud media pases largos, m",xA/90,Second assists/90,Third assists/90,Desmarques/90,Precisión desmarques %,Jugadas claves/90,Pases en el último tercio/90,Precisión pases en el último tercio %,Pases al área de penalti/90,Pases hacía el área pequeña %,Pases en profundidad/90,Precisión pases en profundidad %,Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,Precisión pases progresivos %,Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas/90,Paradas %,xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Tiros libres/90,Tiros libres directos/90,Tiros libres directos %,Córneres/90,Penaltis a favor,Penaltis realizados %,Competición,Temporada,Pais_Comp,Asistencias/90.1,Duelos aéreos/90.1,Flag,Posición Principal,Fecha_Actualizacion
502,I. Landín,Náxara,Náxara,"RW, RAMF, CF",25,0,,25,1517,1,2.13,5,2.21,22.84,41.56,Spain,Spain,unknown,0,0,no,5.7,5.04,63.53,5.81,30.61,0.42,0.66,0.06,2.08,3.28,0.89,4,0.24,0,0.0,3.14,0.06,1,0.06,0.13,0,0.0,22,1.31,50.0,4.545,0.3,4.51,26.32,0.59,30.0,3.86,24.62,0.71,3.14,39.62,9.37,37.34,1.42,1.6,0.18,14.06,2.73,1.96,22.78,57.03,7.12,42.5,4.21,87.32,7.65,56.59,15.07,71.26,3.44,34.48,21.43,26.24,0.13,0.0,0.0,0.12,50.0,0.59,3.44,53.45,4.63,35.9,0.83,35.71,0.89,1.13,4.92,68.67,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.06,0.0,0.0,0.12,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Extremo,2026-08-01 16:29:15.671466
503,Juan García,Náxara,Náxara,LCB,27,0,2026-06-30,22,1986,0,0.93,0,0.0,17.72,64.45,Spain,Spain,,0,0,no,10.51,6.53,78.47,6.71,55.41,0.41,0.61,0.54,4.98,7.45,0.82,9,0.41,0,0.0,0.32,0.0,0,0.0,0.04,0,0.0,9,0.41,11.11,0.0,0.0,0.09,50.0,0.05,0.0,0.0,0.0,0.0,0.23,100.0,1.27,60.71,0.36,0.41,0.0,9.74,0.18,0.5,25.79,70.83,15.05,61.75,1.54,85.29,7.75,84.21,16.13,81.46,9.61,52.83,28.2,41.96,0.0,0.0,0.0,0.0,0.0,0.0,5.66,51.2,0.68,33.33,0.14,33.33,0.18,0.0,8.29,62.3,0,,0,,0,0.0,0.0,0.0,,,0.86,,0.05,0.0,0.0,0.0,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Central,2026-08-01 16:29:15.671466
504,A. Sánchez,Deportivo Alavés B,Deportivo Alavés B,AMF,22,0,2026-06-30,1,49,0,0.0,0,0.0,,,Spain,Spain,derecho,170,62,no,,,,,,,0.0,,,0.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.79,0.0,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Centrocampista,2026-08-01 16:29:15.671466
505,D. Ciriano,Ejea,Ejea,"RDMF, DMF, LCMF",23,0,,16,1013,1,0.85,0,0.98,21.32,47.92,Spain,Spain,,0,0,no,9.33,8.62,59.79,4.44,42.0,0.44,0.68,0.18,3.73,5.73,2.31,3,0.27,0,0.0,0.98,0.09,1,0.09,0.08,0,0.0,16,1.42,12.5,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,31.25,5.33,40.0,0.53,1.95,0.36,16.79,0.62,0.98,29.41,73.72,12.53,61.7,3.2,88.89,8.35,82.98,25.68,79.24,3.73,35.71,20.4,33.36,0.09,0.0,0.0,0.44,80.0,0.09,6.04,61.76,1.33,60.0,0.71,50.0,0.8,0.0,6.13,66.67,0,,0,,0,0.0,0.0,0.0,,,0.27,,0.53,0.0,0.0,0.36,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Centrocampista,2026-08-01 16:29:15.671466
506,Pablo Agustin,Ejea,Ejea,"AMF, LW, LAMF",22,0,,22,1425,3,2.47,1,1.44,20.46,42.28,Spain,Spain,unknown,0,0,no,5.31,6.13,58.76,2.91,32.61,0.13,0.18,0.13,1.58,2.29,1.26,3,0.19,0,0.0,3.03,0.19,3,0.19,0.16,1,0.06,38,2.4,28.95,7.895,0.06,1.52,29.17,0.76,33.33,0.69,18.18,0.06,3.09,57.14,9.03,35.66,1.58,1.33,0.25,17.75,1.2,1.39,25.52,70.79,8.65,62.04,4.86,90.91,7.39,65.81,22.04,75.93,1.96,45.16,16.75,17.11,0.09,0.0,0.0,0.32,40.0,0.25,3.35,64.15,1.89,40.0,0.44,14.29,0.63,0.38,3.85,65.57,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.39,0.06,0.0,2.21,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Centrocampista,2026-08-01 16:29:15.671466
507,David Chica,Ejea,Ejea,RCB,22,0,,20,1663,0,0.7,0,0.28,11.37,66.19,Spain,Spain,unknown,0,0,no,9.36,5.68,72.38,2.11,53.85,0.49,0.71,1.03,4.76,6.97,0.49,3,0.16,0,0.0,0.16,0.0,0,0.0,0.04,0,0.0,5,0.27,20.0,0.0,0.0,0.11,100.0,0.0,0.0,0.11,100.0,0.05,0.05,0.0,0.7,53.85,0.05,0.27,0.0,21.0,0.16,0.38,36.69,84.07,16.56,73.2,2.33,97.67,15.8,92.47,30.69,90.3,5.9,51.38,20.26,33.49,0.02,0.0,0.0,0.0,0.0,0.05,3.36,58.06,0.43,50.0,0.22,25.0,0.05,0.11,7.09,54.2,0,,0,,0,0.0,0.0,0.0,,,1.73,,0.0,0.0,0.0,0.0,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Central,2026-08-01 16:29:15.671466
508,Lalo Arantegui,Ejea,Ejea,"RB, RAMF",18,0,,12,437,0,0.36,0,0.21,18.33,42.7,Spain,Spain,unknown,0,0,no,6.59,7.0,55.88,3.5,29.41,0.21,0.3,0.0,2.47,3.6,0.82,1,0.21,0,0.0,1.85,0.0,0,0.0,0.07,0,0.0,5,1.03,20.0,0.0,0.0,2.47,25.0,0.21,0.0,2.27,27.27,0.62,1.85,55.56,5.56,33.33,0.41,0.62,0.0,12.77,1.65,1.65,19.77,60.42,10.5,56.86,2.27,100.0,4.32,47.62,14.42,70.0,3.3,43.75,14.93,19.04,0.04,0.0,0.0,0.0,0.0,0.0,2.68,46.15,1.85,33.33,0.0,0.0,0.21,0.21,4.12,50.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.41,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Lateral,2026-08-01 16:29:15.671466
509,Erik Vázquez,Ejea,Ejea,"LW, LAMF",20,0,,7,170,0,0.02,0,0.01,,,Spain,Spain,unknown,0,0,si,,,,,,,0.0,,,0.88,,1,,0,,,,0,,,0,,1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.55,23.82,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Extremo,2026-08-01 16:29:15.671466
510,Yzan Acin,Ejea,Ejea,GK,23,0,,6,522,0,0.0,0,0.0,1.03,83.33,Spain,Spain,unknown,0,0,no,1.9,0.17,100.0,0.52,100.0,0.0,0.0,0.0,1.72,2.5,0.17,1,0.17,1,0.17,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,17.24,0.17,0.17,29.48,84.21,16.9,75.51,0.0,0.0,11.21,96.92,17.24,98.0,12.07,65.71,34.33,46.47,0.0,0.0,0.0,0.0,0.0,0.0,2.76,62.5,0.0,0.0,0.0,0.0,0.0,0.0,9.48,72.73,5,0.86,19,3.28,2,73.68,5.79,1.0,0.79,0.136,0.0,1.72,,,,0.0,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Portero,2026-08-01 16:29:15.671466
511,Prince Amponsah,Ejea,Ejea,"RCB, LCB",20,0,,13,1076,0,0.12,0,0.59,11.12,68.42,Ghana,Ghana,,0,0,no,8.95,4.85,75.86,3.6,60.47,0.0,0.0,1.25,5.27,7.78,0.67,2,0.17,0,0.0,0.17,0.0,0,0.0,0.01,0,0.0,1,0.08,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.17,100.0,1.42,64.71,0.33,0.59,0.0,30.86,0.33,0.5,45.08,86.83,18.82,77.78,2.51,90.0,21.08,93.25,36.89,92.52,8.11,61.86,25.43,42.0,0.05,0.0,0.0,0.0,0.0,0.08,5.19,64.52,0.42,20.0,0.25,33.33,0.17,0.0,10.71,80.47,0,,0,,0,0.0,0.0,0.0,,,1.92,,0.08,0.0,0.0,0.0,0,0.0,2RFEF,2025-2026,ESP,,,https://images.fotmob.com/image_resources/logo/teamlogo/6714.png,Central,2026-08-01 16:29:15.671466
